topic_id;name;uri
0;Computer_science;http://dbpedia.org/resource/Category:Computer_science
1;Knowledge;http://dbpedia.org/resource/Category:Knowledge
3;Systems;http://dbpedia.org/resource/Category:Systems
4;Computer_science;http://dbpedia.org/resource/Category:Computer_science
4;Computer_data;http://dbpedia.org/resource/Category:Computer_data
4;Data_processing;http://dbpedia.org/resource/Category:Data_processing
5;Computer_programming;http://dbpedia.org/resource/Category:Computer_programming
10;Bibliography;http://dbpedia.org/resource/Category:Bibliography
21;Archieves;http://dbpedia.org/resource/Category:Archieves
21;Documents;http://dbpedia.org/resource/Category:Documents
23;Human_resource_management;http://dbpedia.org/resource/Category:Human_resource_management
25;Library_management;http://dbpedia.org/resource/Category:Library_management
70;Journalism;http://dbpedia.org/resource/Category:Journalism
70;Mass_media;http://dbpedia.org/resource/Category:Mass_media
70;Documentary;http://dbpedia.org/resource/Category:Documentary
90;Manuscripts;http://dbpedia.org/resource/Category:Manuscripts
91;Manuscripts;http://dbpedia.org/resource/Category:Manuscripts
93;Incunabula;http://dbpedia.org/resource/Category:Incunabula
100;Philosophy;http://dbpedia.org/resource/Category:Philosophy
107;Education;http://dbpedia.org/resource/Category:Education
108;Groups_of_people;http://dbpedia.org/resource/Category:Groups_of_people
110;Metaphysics;http://dbpedia.org/resource/Category:Metaphysics
111;Ontology;http://dbpedia.org/resource/Category:Ontology
114;Space;http://dbpedia.org/resource/Category:Space
115;Time;http://dbpedia.org/resource/Category:Time
116;Change;http://dbpedia.org/resource/Category:Change
117;Structure;http://dbpedia.org/resource/Category:Structure
120;Epistemology;http://dbpedia.org/resource/Category:Epistemology
124;Teleology;http://dbpedia.org/resource/Category:Teleology
128;Humankind;http://dbpedia.org/resource/Category:Humankind
138;Physiognomy;http://dbpedia.org/resource/Category:Physiognomy
139;Phrenology;http://dbpedia.org/resource/Category:Phrenology
148;Dogmatism;http://dbpedia.org/resource/Category:Dogmatism
150;Psychology;http://dbpedia.org/resource/Category:Psychology
152;Perception;http://dbpedia.org/resource/Category:Perception
158;Applied_psychology;http://dbpedia.org/resource/Category:Applied_psychology
160;Philosophical_logic;http://dbpedia.org/resource/Category:Philosophical_logic
161;Inductive_reasoning;http://dbpedia.org/resource/Category:Inductive_reasoning
162;Deductive_reasoning;http://dbpedia.org/resource/Category:Deductive_reasoning
165;Fallacies;http://dbpedia.org/resource/Category:Fallacies
166;Syllogism;http://dbpedia.org/resource/Category:Syllogism
167;Hypotheses;http://dbpedia.org/resource/Category:Hypotheses
168;Arguments;http://dbpedia.org/resource/Category:Arguments
169;Analogy;http://dbpedia.org/resource/Category:Analogy
170;Ethics;http://dbpedia.org/resource/Category:Ethics
181;Eastern_philosophy;http://dbpedia.org/resource/Category:Eastern_philosophy
182;Presocratic_philosophy;http://dbpedia.org/resource/Category:Presocratic_philosophy
184;Platonism;http://dbpedia.org/resource/Category:Platonism
185;Aristotelianism;http://dbpedia.org/resource/Category:Aristotelianism
186;Neoplatonism;http://dbpedia.org/resource/Category:Neoplatonism
186;Skepticism;http://dbpedia.org/resource/Category:Skepticism
187;Epicureanism;http://dbpedia.org/resource/Category:Epicureanism
188;Stoicism;http://dbpedia.org/resource/Category:Stoicism
200;Religion;http://dbpedia.org/resource/Category:Religion
202;Doctrines;http://dbpedia.org/resource/Category:Doctrines
205;Religious_ethics;http://dbpedia.org/resource/Category:Religious_ethics
208;Sources;http://dbpedia.org/resource/Category:Sources
212;Existence;http://dbpedia.org/resource/Category:Existence
214;Theodicy;http://dbpedia.org/resource/Category:Theodicy
218;Humankind;http://dbpedia.org/resource/Category:Humankind
220;Bible;http://dbpedia.org/resource/Category:Bible
225;New_Testament;http://dbpedia.org/resource/Category:New_Testament
230;Christianity;http://dbpedia.org/resource/Category:Christianity
231;God;http://dbpedia.org/resource/Category:God
233;Humankind;http://dbpedia.org/resource/Category:Humankind
236;Eschatology;http://dbpedia.org/resource/Category:Eschatology
241;Christian_ethics;http://dbpedia.org/resource/Category:Christian_ethics
242;Devotional_literature;http://dbpedia.org/resource/Category:Devotional_literature
262;Ecclesiology;http://dbpedia.org/resource/Category:Ecclesiology
263;Days;http://dbpedia.org/resource/Category:Days
265;Sacraments;http://dbpedia.org/resource/Category:Sacraments
266;Missions;http://dbpedia.org/resource/Category:Missions
268;Religious_education;http://dbpedia.org/resource/Category:Religious_education
270;History;http://dbpedia.org/resource/Category:History
